PlayerID,StageIndex,Score,UsedTime,UpdateGap,Win,RecordTime
1,1,10,9.553507,3,True,2025-12-14 00:11:49
1,1,10,7.116411,3,True,2025-12-14 00:20:30
1,1,10,6.967144,3,True,2025-12-14 00:23:01
1,1,10,7.15186,3,True,2025-12-14 00:24:18
1,1,10,5.61826,3,True,2025-12-14 00:35:15
1,1,10,4.826284,3,True,2025-12-14 00:36:55
1,1,10,8.027076,3,True,2025-12-14 00:37:30
1,1,10,9.162401,3,True,2025-12-14 00:38:46
1,1,10,7.346761,3,True,2025-12-14 00:39:43
1,1,10,7.813398,3,True,2025-12-14 00:40:42
1,1,10,11.42114,3,True,2025-12-14 00:43:09
1,1,10,5.135843,3,True,2025-12-14 00:45:04
